#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
#S 9  ascan  chi -7.5035 -6.5035  30 1
#D Mon Dec 11 14:23:03 2017
#T 1  (Seconds)
#G0 3 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.777567879 3.777567879 13.11033219 90 90 90 1.663288525 1.663288525 0.4792544701 90 90 90 2 0 0 3 3 0 48.137 16.5365 -6.46675 70.93525 0 0 120.335 25.1675 -7.32275 70.86125 0 0 1.5406 1.5406
#G3 0.7412412656 1.48557409 -0.02904287581 1.477362629 -0.747809486 -0.0452928124 -0.1857142127 -0.01947599521 -0.4762246525
#G4 2.938754545 1.16778848 0.01299354717 1.5406 -1.004161933 1.091660158 -25.95986006 88.62891232 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 2.93875 1.16779 0.0129935
#P0 80.3065 13.805 -7.0035 68.0685 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.712K  294.043K 
#N 10
#L Chi  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
-7.5035 2.9384 1.16834 0.0987881  289.715 294.043 6463 1 0 143
-7.47025 2.93843 1.1683 0.0930832  289.722 294.043 6466 1 0 151
-7.43675 2.93846 1.16826 0.0873353  289.717 294.043 6468 1 0 184
-7.4035 2.93849 1.16823 0.0816302  289.712 294.043 6470 1 0 218
-7.37025 2.93852 1.16819 0.0759251  289.724 294.043 6472 1 0 225
-7.33675 2.93854 1.16815 0.070177  289.724 294.043 6474 1 0 259
-7.3035 2.93857 1.16812 0.0644717  289.715 294.043 6476 1 0 410
-7.27025 2.93859 1.16808 0.0587664  289.723 294.043 6478 1 0 663
-7.23675 2.93862 1.16804 0.0530182  289.717 294.043 6480 1 0 822
-7.2035 2.93864 1.16801 0.0473128  289.715 294.043 6482 1 0 691
-7.17025 2.93866 1.16797 0.0416073  289.723 294.043 6484 1 0 514
-7.13675 2.93868 1.16793 0.0358589  289.718 294.043 6486 1 0 492
